year,month,precip,rad,temp,heat,s_mois0_10,s_mois10_200,hum,NOI,A.fendleri,P.tovarense,H.moritziana,R.grandis,C.tremadena,B.reticulata,V. ferrugia,P.fendleri,G.olfenciana,E.amazonicum,M.dodecandra,G.latifolia,T.rubriverbium,E.americanus,Viburnum timoides var venezuelense,Aspidosperma fendleri,Protium  tovarense,Hyronima  moritziana,Richeria  grandis,Caracasia tremadena,Byrsonima reticulata,Vismia ferruginea,Palicurea fendleri,Guapira olfersiana,Erytroxylum amazonicum,Miconea dodecandra,Gaffenridia latifolia,Tretrorchidium rubriverbium,Eliocarpus americanus,Viburnum timoides var venezuelense
1983,1,0.0000049,63,299.75,-0.8,0.1968,0.1462,0.0136,2.2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,4,4,2,0,3,0,0,2,4,1
1983,2,0,66.4,302.59,-1.3,0.1366,0.1171,0.0125,1.9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,4,4,2,0,3,0,0,2,4,2
1983,3,0.0000253,55.3,302.83,-1.2,0.1893,0.1101,0.01465,1.5,0,0,0,0,5,0,0,0,5,0,3,0,0,0,0,3,0,4,0,0,4,2,1,0,0,0,0,1,5,0
1983,4,0.0000312,49.1,302.25,-1.6,0.2542,0.1368,0.015900001,1.3,0,0,0,0,4,0,0,4,5,4,3,0,0,0,1,0,0,5,0,0,2,0,0,0,0,0,0,0,5,0
1983,5,0.0000406,42.3,299.8,0.2,0.2806,0.1975,0.0178,1.1,0,0,0,0,0,0,0,5,4,5,5,0,0,0,2,0,0,0,0,5,1,0,0,0,0,0,0,0,5,0
1983,6,0.0000811,42.6,297.98,0.8,0.3354,0.3036,0.018479999,0.7,0,0,0,3,0,0,4,5,4,5,1,4,0,0,4,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0
1983,7,0.0000635,45.3,297.46,-0.6,0.338,0.3372,0.01811,0.3,0,0,0,4,0,0,4,5,0,4,0,5,0,0,4,0,0,0,0,5,0,0,0,3,0,4,0,0,0,0
1983,8,0.0000747,44.8,297.36,-1,0.3507,0.3507,0.01826,-0.1,0,0,0,4,0,0,5,5,0,0,0,3,0,0,4,0,0,0,0,4,0,0,0,2,0,3,0,0,0,0
1983,9,0.0000872,44.8,297.07,-1,0.3628,0.3579,0.01839,-0.5,0,0,4,5,0,3,5,4,0,0,0,2,5,3,0,0,0,0,0,3,0,0,0,4,0,1,5,0,0,0
1983,10,0.0000833,45,296.9,-0.6,0.3582,0.3425,0.01826,-0.8,5,0,5,0,0,2,2,0,0,0,0,0,5,4,0,0,0,0,3,3,0,0,3,5,4,0,4,0,0,3
1983,11,0.0000344,52.4,297.68,-1.4,0.2892,0.2909,0.01675,-1,5,0,5,0,0,4,0,0,0,0,0,0,5,4,0,0,0,0,4,3,0,3,4,0,3,0,4,0,0,2
1983,12,0.0000029,59.3,298.9,-0.7,0.2099,0.2001,0.01406,-0.9,5,0,5,0,0,5,0,0,0,0,0,0,5,4,0,0,0,0,3,0,0,2,4,0,3,0,1,0,0,1
1984,1,0.0000007,65,299.86,-0.6,0.1508,0.1401,0.01271,-0.6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,2,3,3,0,3,0,0,3,3,1
1984,2,0.0000023,68.1,301.46,-0.8,0.126,0.1148,0.01216,-0.4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,3,2,2,0,2,0,0,2,3,2
